area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00174812,5,10,9,16,8,6,5,8,16,7,11,23,3,4,12,12,3,5
E00174814,15,11,14,10,23,80,74,54,27,18,11,6,5,4,2,0,3,0
E00174815,19,6,15,11,44,59,37,27,27,25,21,26,19,12,1,4,1,1
E00174817,11,10,6,4,24,56,41,23,19,14,11,12,5,5,4,1,1,0
E00174820,19,6,6,1,14,79,94,63,29,41,6,12,12,2,1,2,1,1
E00174822,28,11,8,6,12,95,104,72,28,43,20,20,11,6,6,5,4,3
E00174823,4,6,6,9,14,22,13,9,6,11,8,8,3,3,3,2,0,0
E00174826,15,8,13,9,37,95,67,37,23,22,18,17,16,6,0,1,0,0
E00174828,23,7,2,8,16,87,105,71,36,39,12,12,10,9,0,8,2,1
E00174829,11,15,19,31,21,49,20,19,25,19,32,24,13,6,4,4,2,0
E00174831,14,8,11,10,16,32,41,19,22,15,16,17,14,8,5,4,1,3
E00174833,9,5,4,5,14,36,25,18,12,7,18,3,8,7,4,7,9,6
E00174836,12,5,4,5,4,31,75,30,22,12,18,10,6,8,4,4,2,0
E00174837,21,7,4,6,18,39,41,34,25,15,10,4,3,0,2,2,0,0
E00174839,9,3,0,2,5,45,56,33,14,7,8,5,4,2,0,2,0,1
E00174840,9,4,7,4,4,44,51,20,14,7,6,9,6,4,3,0,1,2
E00174842,6,9,18,16,24,48,49,26,22,14,19,14,12,4,4,1,1,4
E00174843,3,0,3,4,35,40,28,7,6,3,3,6,3,2,3,3,2,0
E00174845,6,4,6,5,11,39,28,14,13,10,9,7,6,4,1,1,5,5
E00174847,12,3,12,11,8,18,37,23,7,6,18,14,15,2,3,0,0,0
E00174866,8,12,18,13,15,5,7,10,15,17,10,17,9,12,10,3,5,3
E00174867,2,9,6,56,50,16,6,5,9,7,13,18,8,10,4,9,7,4
E00174868,5,8,1,13,59,40,19,12,15,7,10,9,5,4,4,4,1,0
E00174869,25,19,12,11,28,41,50,41,33,31,31,24,19,10,17,21,13,16
E00174870,12,18,18,5,35,13,14,11,16,12,17,6,6,7,6,3,3,2
E00174871,40,46,38,22,27,48,53,66,54,47,20,15,14,4,6,5,5,4
E00174872,16,6,6,3,11,21,33,19,18,19,9,4,2,3,6,4,2,1
E00174873,14,3,4,7,23,24,32,18,15,13,4,1,3,1,1,0,1,0
E00174874,35,16,18,24,67,71,75,55,49,28,29,19,6,4,1,5,4,1
